Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie;Fabrikant;Model;Ziekenhuizen in associatie
10001;378;1970;ST.-REMBERTZIEKENHUIS;Torhout;West-Vlaanderen;GE;GE-Optima CT660;Er bestaat geen associatie voor dit toestel
10002;714;3600;SINT-FRANCISCUSZIEKENHUIS;Heusden-Zolder;Limburg;Siemens;SIEMENS-SOMATOM Definition Flash;Er bestaat geen associatie voor dit toestel
10003;397;1990;"O.L.V. VAN LOURDES ZIEKENHUIS
WAREGEM";Waregem;West-Vlaanderen;Siemens;SIEMENS-SOMATOM Definition Flash;Er bestaat geen associatie voor dit toestel
10007;247;2770;CENTRE HOSPITALIER DE MOUSCRON;Moeskroen;Henegouwen;Toshiba;TOSHIBA-Aquilion LB;Er bestaat geen associatie voor dit toestel
10008;49;1010;A.Z. ST. JAN BRUGGE - OOSTENDE;Brugge;West-Vlaanderen;GE;GE-Discovery CT750 HD;Er bestaat geen associatie voor dit toestel
10009;49;1010;A.Z. ST. JAN BRUGGE - OOSTENDE;Brugge;West-Vlaanderen;GE;GE-Revolution CT;Er bestaat geen associatie voor dit toestel
10010;49;1010;A.Z. ST. JAN BRUGGE - OOSTENDE;Brugge;West-Vlaanderen;Philips;PHILIPS-Brilliance Big Bore;Er bestaat geen associatie voor dit toestel
10011;49;1930;A.Z. ST. JAN BRUGGE - OOSTENDE;Oostende;West-Vlaanderen;GE;GE-Discovery CT750 HD;Er bestaat geen associatie voor dit toestel
10013;715;3650;ST. TRUDO ZIEKENHUIS;Sint-Truiden;Limburg;Siemens;SIEMENS-SOMATOM Definition Edge;Er bestaat geen associatie voor dit toestel
10014;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Sint-Lambrechts-Woluwe;Brussel-Hoofdstad;Siemens;SIEMES-SOMATOM Definition AS;Er bestaat geen associatie voor dit toestel
10015;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Sint-Lambrechts-Woluwe;Brussel-Hoofdstad;Philips;PHILIPS-Brilliance;Er bestaat geen associatie voor dit toestel
10017;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Sint-Lambrechts-Woluwe;Brussel-Hoofdstad;Philips;PHILIPS-Brilliance;Er bestaat geen associatie voor dit toestel
10018;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Sint-Lambrechts-Woluwe;Brussel-Hoofdstad;Toshiba;TOSHIBA-Aquilion LB;Er bestaat geen associatie voor dit toestel
10019;670;3850;UNIVERSITAIR ZIEKENHUIS;Gent;Oost-Vlaanderen;Siemens;SIEMENS-SOMATOM Definition Edge;Er bestaat geen associatie voor dit toestel
10020;670;3850;UNIVERSITAIR ZIEKENHUIS;Gent;Oost-Vlaanderen;Siemens;SIEMENS-SOMATOM Definition Flash;Er bestaat geen associatie voor dit toestel
