"Numéro
d'appareil";Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province;Fabricant;Modèle;Type d'utilisation;Hôpitaux en association
30001;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Bruxelles-Capitale;Philips;Philips-Gemini TF PET/CT;Utilisation clinique et scientifique;Il n'existe pas d'association pour cet appareil
30002;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre orientale;Siemens;Siemens-Biograph mCT Flow;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
30003;152.0;2910.0;"CENTRE HOSPITALIER CHRETIEN - ST.
JOSEPH";Liège;Liège;Philips;Philips-Gemini TF PET/CT;Utilisation clinique et scientifique;CENTRE HOSPITALIER CHRETIEN.ST.-VINCENT
30004;9.0;2000.0;"ZIEKENHUISNETWERK ANTWERPEN
VZW";Anvers;Anvers;Philips;Philips-Gemini TF PET/CT;Uitsluitend klinisch gebruik;ZNA, GZA
30006;300.0;4220.0;"UNIVERSITAIR ZIEKENHUIS
ANTWERPEN";Edegem;Anvers;Siemens;Siemens-Biograph mCT;Wetenschappelijk en klinisch gebruik;Il n'existe pas d'association pour cet appareil
30007;707.0;3860.0;"CENTRE HOSPITALIER
UNIVERSITAIRE SART-TILMAN";Liège;Liège;Philips;Philips-Gemini TF PET/CT;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
30008;707.0;3860.0;"CENTRE HOSPITALIER
UNIVERSITAIRE SART-TILMAN";Liège;Liège;Philips;Philips-Gemini TF Big Bore PET/C;Utilisation clinique et scientifique;Il n'existe pas d'association pour cet appareil
30010;143.0;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Bruxelles-Capitale;Siemens;Siemens-Biograph mCT 20 Excel;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
30011;143.0;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Bruxelles-Capitale;Siemens;Siemens-Biograph mCT Flow;Wetenschappelijk en klinisch gebruik;Il n'existe pas d'association pour cet appareil
30012;111.0;1400.0;EUROPAZIEKENHUIZEN V.Z.W.;Uccle;Bruxelles-Capitale;Philips;Philips-Gemini TF Big Bore PET/C;Utilisation clinique uniquement;CHIREC, ST. JEAN
30013;6.0;3300.0;C.H.R. SAMBRE ET MEUSE;Namur;Namur;Siemens;Siemens-Biograph mCT;Utilisation clinique uniquement;CHR VAL DE SAMBRE
30016;;;VZW LPC;Hasselt;Limbourg;Philips;Philips-Gemini TF Big Bore PET/C;Uitsluitend klinisch gebruik;"VZW JESSA, ZIEKENHUIS OOST-LIMBURG AV, AZ VESALIUS AV,VZW MARIAZIEKENHUIS NOORD-LIMBURG,VZW ZIEKENHUIS
MAAS EN KEMPEN,VZW REGIONAAL ZIEKENHUIS SINT-TRUDO, VZW SINT-FRANCISKUSZIEKENHUIS, UNIVERSITAIRE
ZIEKENHUIZEN K.U. LEUVEN"
30017;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Louvain;Brabant flamand;Siemens;Siemens-Biograph TruePoint;Wetenschappelijk en klinisch gebruik;Il n'existe pas d'association pour cet appareil
