Numéro d'appareil;Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province;Fabricant;Modèle;Type d'utilisation;Hopitaux en association
50001;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Bruxelles-Capitale;Philips;PHILIPS-BrightView-XCT;;
50002;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Bruxelles-Capitale;GE;GE-Infinia Hawkeye;;
50003;397.0;1990.0;O.L.V. VAN LOURDES ZIEKENHUIS WAREGEM;Waregem;Flandre Occidentale;GE;GE-Infinia Hawkeye;;
50004;124.0;1920.0;ST.-JOZEFSKLINIEK;Izegem;Flandre Occidentale;GE;GE-Infinia Hawkeye;;
50005;247.0;2770.0;CENTRE HOSPITALIER DE MOUSCRON;Mouscron;Hainaut;Siemens;SIEMENS-Symbia T;;
50006;49.0;1010.0;A.Z. ST. JAN BRUGGE - OOSTENDE;Bruges;Flandre Occidentale;Siemens;SIEMENS-Symbia T;;
50007;49.0;1930.0;A.Z. ST. JAN BRUGGE - OOSTENDE;Ostende;Flandre Occidentale;Siemens;Symbia T;;
50008;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre Orientale;Philips;PHILIPS-BrightView-XCT;;
50009;158.0;2970.0;CENTRE HOSPITALIER CHRETIEN;Heusy;Liège;Philips;PHILIPS-BrightView-XCT;;
50010;706.0;3340.0;CLINIQUE ST.-LUC;Namur;Namur;GE;GE-Infinia Hawkeye;;
50011;706.0;3340.0;CLINIQUE ST.-LUC;Namur;Namur;GE;GE-Discovery NM/CT 670;;
50012;152.0;2910.0;CENTRE HOSPITALIER CHRETIEN - ST. JOSEPH;Liège;Liège;Philips;PHILIPS-BrightView-XCT;;
50013;152.0;2910.0;CENTRE HOSPITALIER CHRETIEN - ST. JOSEPH;Liège;Liège;Philips;PHILIPS-BrightView-XCT;;
50014;713.0;1610.0;ALGEMEEN ZIEKENHUIS JAN PALFIJN;Gand;Flandre Orientale;Philips;PHILIPS-BrightView-XCT;;
50015;57.0;2700.0;JAN YPERMAN ZIEKENHUIS;Ypres;Flandre Occidentale;Siemens;SIEMENS-Symbia T;;
50016;43.0;1730.0;CLINIQUE SAINT PIERRE;Ottignies-Louvain-La-Neuve;Brabant Wallon;Siemens;SIEMENS-Symbia T;;
50017;300.0;4220.0;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;Anvers;GE;GE-Discovery NM/CT 670 ;;
50018;689.0;2040.0;IMELDA ZIEKENHUIS;Bonheiden;Anvers;Siemens;SIEMENS-Symbia T;;
50019;110.0;1310.0;KLINIEK ST.- JAN;Bruxelles;Bruxelles-Capitale;GE;GE-Infinia Hawkeye;;
50021;110.0;1310.0;KLINIEK ST.- JAN;Bruxelles;Bruxelles-Capitale;GE;GE-Optima NM/CT 640;;
50022;23.0;2860.0;CLINIQUE ANDRE RENARD;Herstal;Liège;GE;GE-Discovery NM/CT 670 Pro;;
50023;371.0;3560.0;ZIEKENHUIS OOST-LIMBURG;Genk;Limbourg;Siemens;SIEMENS-Symbia T;;
50024;146.0;3200.0;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Hainaut;GE;GE-Infinia Hawkeye;;
50025;146.0;3200.0;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Hainaut;GE;GE-Discovery NM/CT 670 Pro;;
50026;102.0;2080.0;HEILIG HARTZIEKENHUIS V.Z.W.;Mol;Anvers;Siemens;SIEMENS-Symbia Intevo ;;
50027;709.0;2690.0;ALGEMEEN ZIEKENHUIS ST. DIMPNA;Geel;Anvers;GE;GE-Infinia Hawkeye;;
50028;709.0;2690.0;ALGEMEEN ZIEKENHUIS ST. DIMPNA;Geel;Anvers;GE;GE-Discovery NM/CT 670 Pro;;
50029;63.0;1280.0;ALGEMEEN ZIEKENHUIS TURNHOUT;Turnhout;Anvers;Siemens;SIEMENS-Symbia T;;
50030;534.0;2830.0;CENTRE HOSPITALIER DE WALLONIE PICARDE;Tournai;Hainaut;GE;GE-Infinia Hawkeye;;
50031;534.0;2810.0;CENTRE HOSPITALIER DE WALLONIE PICARDE;Tournai;Hainaut;GE;GE-Infinia Hawkeye;;
50033;714.0;3600.0;SINT-FRANCISCUSZIEKENHUIS;Heusden-Zolder;Limbourg;Philips;PHILIPS-BrightView-XCT;;
50034;550.0;1680.0;A.Z. GLORIEUX;Ronse;Flandre Orientale;GE;GE-Discovery NM/CT 670 ;;
50035;63.0;1280.0;ALGEMEEN ZIEKENHUIS TURNHOUT;Turnhout;Anvers;GE;GE-Discovery NM/CT 670 Pro;;
50036;308.0;1250.0;ALGEMEEN ZIEKENHUIS HERENTALS;Herentals;Anvers;GE;GE-Discovery NM/CT 670 ;;
