Numéro d'appareil;Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province/Région de Bruxelles-Capitale;Fabricant;Modèle;Type d'utilisation;Hopitaux en association
60001;536;2090;ALGEMEEN ZIEKENHUIS ST.-JOZEF;Malle;Anvers;Siemens;SIEMENS MAGNETOM AERA 1,5T;Utilisation clinique uniquement;
60002;247;2770;CENTRE HOSPITALIER DE MOUSCRON;Mouscron;Hainaut;Siemens;MAGNETOM AERA 1.5T;Utilisation clinique uniquement;
60004;49;1010;A.Z. ST. JAN BRUGGE - OOSTENDE;Bruges;Flandre Occidentale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60005;715;3650;ST. TRUDO ZIEKENHUIS;Sint-Truiden;Limbourg;Siemens;SIEMENS MAGNETOM AVANTO FIT;Utilisation clinique uniquement;
60006;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Région de Bruxelles-Capitale;Siemens;SIEMENS-MAGNETOM Skyra 3T;Utilisation clinique uniquement;
60007;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Région de Bruxelles-Capitale;GE;GE-Optima 450W;Utilisation clinique uniquement;
60008;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Région de Bruxelles-Capitale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60010;670;3850;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre Orientale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60020;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;Anvers;Siemens;SIEMENS-MAGNETOM Skyra 3T;Utilisation clinique uniquement;
60021;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;Anvers;Siemens;SIEMENS-MAGNETOM AERA TIM, 1,5T;Utilisation clinique uniquement;
60022;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;Anvers;Siemens;SIEMENS-MAGNETOM Prisma 3T;Utilisation clinique uniquement;
60023;111;1400;EUROPAZIEKENHUIZEN V.Z.W.;Uccle;Région de Bruxelles-Capitale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60024;689;2040;IMELDA ZIEKENHUIS;Bonheiden;Anvers;Siemens;SIEMENS MAGNETOM AERA;Utilisation clinique uniquement;
60026;534;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE;Tournai;Hainaut;Siemens;SIEMENS MAGNETOM AERA;Utilisation clinique uniquement;
60030;110;1310;KLINIEK ST.- JAN;Bruxelles;Région de Bruxelles-Capitale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
