Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie / Brussels Hoofdstedelijk Gewest ;Fabrikant;Model;Type gebruik;Ziekenhuizen in associatie
30002;670;3850.0;UNIVERSITAIR ZIEKENHUIS;GENT;Oost-Vlaanderen;Siemens;Siemens-Biograph mCT Flow;Uitsluitend klinisch gebruik;
30007;707;3860.0;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;LUIK;Luik;Philips;Philips-Gemini TF PET/CT;Uitsluitend klinisch gebruik;
30008;707;3860.0;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;LUIK;Luik;Philips;Philips-Gemini TF Big Bore PET/CT;Wetenschappelijk en klinisch gebruik;
30010;143;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;JETTE;Brussels Hoofdst. Gew.;Siemens;Siemens-Biograph mCT 20 Excel;Uitsluitend klinisch gebruik;
30011;143;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;JETTE;Brussels Hoofdst. Gew.;Siemens;Siemens-Biograph mCT Flow;Wetenschappelijk en klinisch gebruik;
30012;111;1400.0;EUROPAZIEKENHUIZEN V.Z.W.;UKKEL;Brussels Hoofdst. Gew.;Philips;Philips-Gemini TF Big Bore PET/CT;Uitsluitend klinisch gebruik;CHIREC/ST. JEAN
30013;6;3300.0;CHR SAMBRE ET MEUSE (SITE MEUSE);NAMEN;Namen;Siemens;Siemens-Biograph mCT;Uitsluitend klinisch gebruik;CHR VAL DE SAMBRE
30017;322;4230.0;UZ LEUVEN;LEUVEN;Vlaams Brabant;Siemens;Siemens-Biograph TruePoint;Wetenschappelijk en klinisch gebruik;
30019;39;3280.0;CHU-UCL NAMUR - SITE GODINNE;YVOIR;Namen;Philips;Philips-Gemini TF PET/CT;Wetenschappelijk en klinisch gebruik;CLINIQUE ET MATERNITE SAINTE-ELISABETH
30020;10;;ASSOCIATION INTERHOSPITALIERE DE LA REGION DE CHARLEROI ASBL;CHARLEROI;Henegouwen;GE;GE-Discovery PET/CT 690;Uitsluitend klinisch gebruik;CHU DE CHARLEROI - CHU ANDRE VESALE - GRAND HOPITAL DE CHARLEROI - CLINIQUE NOTRE-DAME DE GRACE
30021;79;1510.0;INSTITUT JULES BORDET;BRUSSEL;Brussels Hoofdst. Gew.;GE;GE-Discovery PET/CT 690;Uitsluitend klinisch gebruik;CHU BRUGMANN-CHU ST PIERRE-HOPITAUX IRIS SUD
30024;110;1310.0;KLINIEK ST.- JAN;BRUSSEL;Brussels Hoofdst. Gew.;GE;GE-Discovery IQ;Uitsluitend klinisch gebruik;CLINIQUE DE L EUROPE- CHIREC
30025;396;1090.0;AZ GROENINGE;KORTRIJK;West-Vlaanderen;GE;GE-Discovery PET/CT 690 Elite;Uitsluitend klinisch gebruik;ALGEMEEN ZIEKENHUIS ST.-JAN BRUGGE-OOSTENDE ALGEMEEN ZIEKENHUIS DELTA
30026;406;4210.0;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;ANDERLECHT;Brussels Hoofdst. Gew.;Philips;Gemini tf64 T;Wetenschappelijk en klinisch gebruik;
30027;49;1010.0;AZ SINT-JAN BRUGGE - OOSTENDE;BRUGGE;West-Vlaanderen;GE;GE DISCOVERY MI;Uitsluitend klinisch gebruik;"A.Z. GROENINGE VZW, KORTRIJK
A.Z. DELTA VZW, ROESELAERE"
30028;371;3560.0;ZIEKENHUIS OOST-LIMBURG;GENK;Limburg;Siemens;Biograph Horizon;Uitsluitend klinisch gebruik;VZW JESSA/ZIEKENHUIS OOST-LIMBURG AV/ AZ VESALIUS AV/VZW MARIAZIEKENHUIS NOORD-LIMBURG/VZW ZIEKENHUIS MAAS EN KEMPEN/VZW REGIONAAL ZIEKENHUIS SINT-TRUDO/VZW SINT-FRANCISKUSZIEKENHUIS/UNIVERSITAIRE ZIEKENHUIZEN K.U. LEUVEN
30029;670;3850.0;UNIVERSITAIR ZIEKENHUIS;GENT;Oost-Vlaanderen;GE MEDICAL SYSTEMS;DISCOVERY MI ;Wetenschappelijk en klinisch gebruik;
30030;689;2040.0;IMELDA ZIEKENHUIS;BONHEIDEN;Antwerpen;Siemens;BIOGRAPH MCT 40 FLOW;Uitsluitend klinisch gebruik;"IMELDA ZIEKENHUIS
AZ ST-MAARTEN
HEILIG HART ZIEKENHUIS LIER
AZ DIEST
RZ HEILIG HART TIENEN
RZ HEILIG HART LEUVEN
AZ JAN PORTAELS"
30031;534;2830.0;CENTRE HOSPITALIER DE WALLONIE PICARDE;DOORNIK;Henegouwen;GE;DISCOVERY MI;Uitsluitend klinisch gebruik;CHM - EPICURA
30032;406;4210.0;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;ANDERLECHT;Brussels Hoofdst. Gew.;Philips;Philips-Vereos PET/CT;Wetenschappelijk en klinisch gebruik;
30033;332;6140.0;CHIREC - DELTA;OUDERGEM;Brussels Hoofdst. Gew.;GE;DISCOVERY MI;Uitsluitend klinisch gebruik;
30034;290;1630.0;AZ SINT-LUCAS;GENT;Oost-Vlaanderen;Siemens;Biograph mCT Flow 40;Wetenschappelijk en klinisch gebruik;"AZ ALMA EEKLO; AZ JAN PALFIJN GENT; SV ZIEKENHUIS DEINZE"
30035;126;1780.0;ONZE-LIEVE-VROUW ZIEKENHUIS;AALST;Oost-Vlaanderen;Siemens;Biograph mCT 40 Flow;Uitsluitend klinisch gebruik;ASSOCIATIE ZUID OOST VLAANDEREN
30036;403;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;SINT-LAMBRECHTS-WOLUWE;Brussels Hoofdst. Gew.;Philips;Philips-Vereos PET/CT;Wetenschappelijk en klinisch gebruik;
30037;322;4230.0;UZ LEUVEN;LEUVEN;Vlaams Brabant;GE;DISCOVERY MI;Wetenschappelijk en klinisch gebruik;
30038;9;3360.0;ZIEKENHUISNETWERK ANTWERPEN (ZNA);ANTWERPEN;Antwerpen;Philips;Philips-Vereos PET/CT;Uitsluitend klinisch gebruik;GZA UZA MONICA KLINA MALLE BORNEM RUMST
30039;243;3590.0;JESSA ZIEKENHUIS;HASSELT;Limburg;Philips;Philips-Vereos PET/CT;Uitsluitend klinisch gebruik;VZW JESSA - ZIEKENHUIS OOST LIMBURG AV - AZ VESALIUS AV - VZW MARIAZIEKENHUIS NOORD-LIMBURG - VZW ZIEKENHUIS MAAS EN KEMPEN - VZW REGIONAAL ZIEKENHUIS SINT-TRUDO - VZW SINT-FRANCISKUSZIEKENHUIS - UNIVERSITAIRE ZIEKENHUIZEN K.U.L.
