Numéro d'appareil;Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province/Région de Région de Bruxelles-Capitale;Fabricant;Modèle;Hopitaux en association
50001;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;WOLUWE-SAINT-LAMBERT;Région Bruxelles Cap.;Philips;PHILIPS-BrightView-XCT;
50002;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;WOLUWE-SAINT-LAMBERT;Région Bruxelles Cap.;GE;GE-Infinia Hawkeye;
50003;397;1990;O.L.V. VAN LOURDES ZIEKENHUIS WAREGEM;WAREGEM;Flandre Occidentale;GE;GE-Infinia Hawkeye;
50004;124;1920;SINT-JOZEFSKLINIEK;IZEGEM;Flandre Occidentale;GE;GE-Infinia Hawkeye;
50005;247;2770;CENTRE HOSPITALIER DE MOUSCRON;MOUSCRON;Hainaut;Siemens;SIEMENS-Symbia T;
50006;49;1010;AZ SINT-JAN BRUGGE - OOSTENDE;BRUGES;Flandre Occidentale;Siemens;SIEMENS-Symbia T;
50008;670;3850;UNIVERSITAIR ZIEKENHUIS;GAND;Flandre Orientale;Philips;PHILIPS-BrightView-XCT;
50009;158;2970;GROUPE SANTE CHC - SITE HERMALLE ET HEUSY;VERVIERS;Liège;Philips;PHILIPS-BrightView-XCT;
50010;706;3340;CLINIQUE ST.-LUC;NAMUR;Namur;GE;GE-Infinia Hawkeye;
50011;706;3340;CLINIQUE ST.-LUC;NAMUR;Namur;GE;GE-Discovery NM/CT 670;
50014;713;1610;AZ JAN PALFIJN;GAND;Flandre Orientale;Philips;PHILIPS-BrightView-XCT;
50015;57;2700;JAN YPERMAN ZIEKENHUIS;IEPER;Flandre Occidentale;Siemens;SIEMENS-Symbia T;
50016;43;1730;CLINIQUE SAINT PIERRE;OTTIGNIES-LOUVAIN-LA-NEUVE;Brabant Wallon;Siemens;SIEMENS-Symbia T;
50017;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;EDEGEM;Anvers;GE;GE-Discovery NM/CT 670 ;
50018;689;2040;IMELDA ZIEKENHUIS;BONHEIDEN;Anvers;Siemens;SIEMENS-Symbia T;
50019;110;1310;KLINIEK ST.- JAN;BRUXELLES;Région Bruxelles Cap.;GE;GE-Infinia Hawkeye;
50021;110;1310;KLINIEK ST.- JAN;BRUXELLES;Région Bruxelles Cap.;GE;GE-Optima NM/CT 640;
50022;23;2860;CLINIQUE ANDRE RENARD;HERSTAL;Liège;GE;GE-Discovery NM/CT 670 Pro;
50023;371;3560;ZIEKENHUIS OOST-LIMBURG;GENK;Limbourg;Siemens;SIEMENS-Symbia T;
50024;146;3200;POLE HOSPITALIER JOLIMONT - SITE JOLIMONT - LOBBES;LA LOUVIERE;Hainaut;GE;GE-Infinia Hawkeye;
50025;146;3200;POLE HOSPITALIER JOLIMONT - SITE JOLIMONT - LOBBES;LA LOUVIERE;Hainaut;GE;GE-Discovery NM/CT 670 Pro;
50026;102;2080;HEILIG HART ZIEKENHUIS;MOL;Anvers;Siemens;SIEMENS-Symbia Intevo ;
50027;709;2690;ZIEKENHUIS GEEL;GEEL;Anvers;GE;GE-Infinia Hawkeye;
50028;709;2690;ZIEKENHUIS GEEL;GEEL;Anvers;GE;GE-Discovery NM/CT 670 Pro;
