MID-ID;Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie / Brussels Hoofdstedelijk Gewest ;Fabrikant;Model;Ziekenhuizen in associatie
MID-000325;50001;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC - ST. LUC BRUXELLES;Sint-Lambrechts-Woluwe;Brussels Hoofdstedelijk Gewest;Philips;PHILIPS-BrightView-XCT;
MID-000326;50002;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC - ST. LUC BRUXELLES;Sint-Lambrechts-Woluwe;Brussels Hoofdstedelijk Gewest;GE;GE-Infinia Hawkeye;
MID-000327;50003;397;1990;O.L.V. VAN LOURDES ZIEKENHUIS WAREGEM - ONZE LIEVE VROUW VAN LOURDES;Waregem;West-Vlaanderen;GE;GE-Infinia Hawkeye;
MID-000329;50005;247;2770;CENTRE HOSPITALIER DE MOUSCRON - C.H.R. MOUSCRON;Moeskroen;Henegouwen;Siemens;SIEMENS-Symbia T;
MID-000330;50006;49;1010;AZ SINT-JAN BRUGGE - OOSTENDE - AZ SINT-JAN BRUGGE;Brugge;West-Vlaanderen;Siemens;SIEMENS-Symbia T;
MID-000331;50008;670;3850;UNIVERSITAIR ZIEKENHUIS - UZ GENT;Gent;Oost-Vlaanderen;Philips;PHILIPS-BrightView-XCT;
MID-000332;50009;158;2970;GROUPE SANTE CHC - SITE HERMALLE ET HEUSY - CLINIQUE CHC HEUSY;Verviers;Luik;Philips;PHILIPS-BrightView-XCT;
MID-000333;50010;706;3340;CLINIQUE ST.-LUC - ST. LUC BOUGE;Namen;Namen;GE;GE-Infinia Hawkeye;
MID-000334;50011;706;3340;CLINIQUE ST.-LUC - ST. LUC BOUGE;Namen;Namen;GE;GE-Discovery NM/CT 670;
MID-000335;50014;713;1610;AZ JAN PALFIJN - JAN PALFIJN;Gent;Oost-Vlaanderen;Philips;PHILIPS-BrightView-XCT;
MID-000336;50015;57;2700;JAN YPERMAN ZIEKENHUIS - JAN YPERMAN ZIEKENHUIS;Ieper;West-Vlaanderen;Siemens;SIEMENS-Symbia T;
MID-000338;50017;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN - UZA;Edegem;Antwerpen;GE;GE-Discovery NM/CT 670;
MID-000339;50018;689;2040;IMELDA ZIEKENHUIS - IMELDA;Bonheiden;Antwerpen;Siemens;SIEMENS-Symbia T;
MID-000340;50019;110;1310;KLINIEK ST.- JAN - KRUIDTUIN;Brussel;Brussels Hoofdstedelijk Gewest;GE;GE-Infinia Hawkeye;
MID-000341;50021;110;1310;KLINIEK ST.- JAN - KRUIDTUIN;Brussel;Brussels Hoofdstedelijk Gewest;GE;GE-Optima NM/CT 640;
MID-000342;50022;23;2860;CLINIQUE ANDRE RENARD - ANDRE RENARD;Herstal;Luik;GE;GE-Discovery NM/CT 670 Pro;
MID-000344;50024;146;3200;POLE HOSPITALIER JOLIMONT - SITE JOLIMONT - LOBBES - HOPITAL DE JOLIMONT;La Louvière;Henegouwen;GE;GE-Infinia Hawkeye;
MID-000345;50025;146;3200;POLE HOSPITALIER JOLIMONT - SITE JOLIMONT - LOBBES - HOPITAL DE JOLIMONT;La Louvière;Henegouwen;GE;GE-Discovery NM/CT 670 Pro;
MID-000346;50026;102;2080;HEILIG HART ZIEKENHUIS - HEILIG HART ZIEKENHUIS MOL;Mol;Antwerpen;Siemens;SIEMENS-Symbia Intevo;
MID-000348;50028;709;2690;ZIEKENHUIS GEEL - ZIEKENHUIS GEEL;Geel;Antwerpen;GE;GE-Discovery NM/CT 670 Pro;
MID-000349;50029;63;1280;AZ TURNHOUT - SINT-ELISABETH TURNHOUT;Turnhout;Antwerpen;Siemens;SIEMENS-Symbia T;
MID-000350;50030;534;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE - UNION TOURNAI;Doornik;Henegouwen;GE;GE-Infinia Hawkeye;
MID-000351;50031;534;2810;CENTRE HOSPITALIER DE WALLONIE PICARDE - NOTRE-DAME TOURNAI;Doornik;Henegouwen;GE;GE-Infinia Hawkeye;
MID-000352;50033;714;3600;SINT-FRANCISCUS ZIEKENHUIS - SINT-FRANCISCUS ZIEKENHUIS;Heusden-Zolder;Limburg;Philips;PHILIPS-BrightView-XCT;
MID-000353;50034;550;1680;A.Z. GLORIEUX - GLORIEUX;Ronse;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670;
MID-000354;50035;63;1280;AZ TURNHOUT - SINT-ELISABETH TURNHOUT;Turnhout;Antwerpen;GE;GE-Discovery NM/CT 670 Pro;
MID-000355;50036;308;1250;AZ HERENTALS - AZ HERENTALS;Herentals;Antwerpen;GE;GE-Discovery NM/CT 670;
MID-000356;50037;395;1170;ST.-ANDRIESZIEKENHUIS - ST. ANDRIES TIELT;Tielt;West-Vlaanderen;GE;GE-Discovery NM/CT 670;
MID-000357;50039;204;1460;ALGEMEEN ZIEKENHUIS JAN PORTAELS - A.Z. JAN PORTAELS;Vilvoorde;Vlaams Brabant;GE;GE-Discovery NM/CT 670;
MID-000358;50040;682;1210;AZ MONICA - DEURNE;Antwerpen;Antwerpen;GE;GE-Infinia Hawkeye;
MID-000359;50041;249;3160;CENTRE DE SANTE DES FAGNES - CENTRE DE SANTE DES FAGNES;Chimay;Henegouwen;Philips;PHILIPS-BrightView-XCT;
MID-000360;50042;170;1660;AZ OUDENAARDE - AZ OUDENAARDE;Oudenaarde;Oost-Vlaanderen;Siemens;SIEMENS-Symbia T;
MID-000361;50043;103;3310;CHR SAMBRE ET MEUSE (SITE SAMBRE) - CHRSM - SITE SAMBRE;Sambreville;Namen;Siemens;SIEMENS-Symbia Intevo;
MID-000363;50046;310;1980;AZ WEST - AZ WEST VEURNE;Veurne;West-Vlaanderen;GE;GE-Infinia Hawkeye;
MID-000364;50047;718;3130;CHU CHARLEROI - HOPITAL CIVIL MARIE CURIE - CHU CHARLEROI - SITE HOPITAL CIVIL MARIE CURIE;Charleroi;Henegouwen;GE;GE-Optima NM/CT 640;
MID-000366;50050;168;3240;VIVALIA - CENTRE HOSPITALIER CENTRE ARDENNE - HOPITAL DE LIBRAMONT;Libramont-Chevigny;Luxemburg;GE;GE-Infinia Hawkeye;
MID-000367;50051;166;3290;CHU UCL NAMUR - SITE STE. ELISABETH NAMUR - STE. ELISABETH NAMUR;Namen;Namen;Siemens;SIEMENS-Symbia T;
MID-000368;50052;99;1290;GZA- ZIEKENHUIZEN - GZA - SINT-AUGUSTINUS;Antwerpen;Antwerpen;Philips;PHILIPS-BrightView-XCT;
MID-000369;50058;97;1260;HEILIG HART ZIEKENHUIS - HEILIG HART;Lier;Antwerpen;GE;GE-Discovery NM/CT 670 Pro;
MID-000371;50060;126;1780;ONZE-LIEVE-VROUW ZIEKENHUIS - OLV ZIEKENHUIS AALST;Aalst;Oost-Vlaanderen;Siemens;SIEMENS-Symbia T;
MID-000372;50061;108;1360;REGIONAAL ZIEKENHUIS HEILIG HART - HEILIG HART;Leuven;Vlaams Brabant;Siemens;SIEMENS-Symbia Intevo;
MID-000373;50062;176;1800;A.S.Z. - AUTONOME VERZORGINGSINSTELLING - ASZ AALST;Aalst;Oost-Vlaanderen;Siemens;SIEMENS-Symbia T;
MID-000374;50063;409;3350;CLINIQUE NOTRE-DAME DE GRACE - NOTRE-DAME DE GRACE GOSSELIES;Charleroi;Henegouwen;Siemens;SIEMENS-Symbia T;
MID-000376;50067;164;3230;VIVALIA - HOPITAL DE MARCHE - HOPITAL DE MARCHE;Marche-en-Famenne;Luxemburg;GE;GE-Discovery NM/CT 670;
MID-000377;50069;87;1560;HOPITAUX IRIS SUD - ETTERBEEK - IXELLES;Elsene;Brussels Hoofdstedelijk Gewest;Philips;PHILIPS-BrightView-XCT;
MID-000378;50070;87;1540;HOPITAUX IRIS SUD - JOSEPH BRACOPS;Anderlecht;Brussels Hoofdstedelijk Gewest;Philips;PHILIPS-BrightView-XCT;
MID-000379;50071;87;1550;HOPITAUX IRIS SUD - MOLIERE LONGCHAMP;Vorst;Brussels Hoofdstedelijk Gewest;Philips;PHILIPS-BrightView-XCT;
MID-000380;50072;217;1900;ALGEMEEN ZIEKENHUIS ST. ELISABETH - ST. ELISABETH;Zottegem;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670;
MID-000381;50073;217;1900;ALGEMEEN ZIEKENHUIS ST. ELISABETH - ST. ELISABETH;Zottegem;Oost-Vlaanderen;GE;DISCOVERY VH INTEGRATED SYSTEM ENTEGRA;
MID-000382;50074;595;1860;VITAZ - VITAZ CAMPUS SINT-NIKLAAS;Sint-Niklaas;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670;
MID-000383;50075;595;1860;VITAZ - VITAZ CAMPUS SINT-NIKLAAS;Sint-Niklaas;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670;
MID-000384;50076;710;3450;AZ KLINA - AZ KLINA;Brasschaat;Antwerpen;GE;GE-Discovery NM/CT 670 Pro;
MID-000385;50077;106;1340;ALGEMEEN ZIEKENHUIS SINT- MARIA - SINT-MARIA;Halle;Vlaams Brabant;Siemens;SIEMENS-Symbia T;
MID-000387;50081;723;1760;C.H. INTERREGIONAL EDITH CAVELL - SARE - BRAINE-L'ALLEUD;Eigenbrakel;Waals Brabant;Philips;PHILIPS-BrightView-XCT;
MID-000388;50082;723;1470;C.H. INTERREGIONAL EDITH CAVELL - SARE - STE. ANNE - ST. REMI;Anderlecht;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-Symbia T;
MID-000389;50083;723;1470;C.H. INTERREGIONAL EDITH CAVELL - SARE - STE. ANNE - ST. REMI;Anderlecht;Brussels Hoofdstedelijk Gewest;GE;GE-Infinia Hawkeye;
MID-000391;50085;68;2870;CENTRE HOSPITALIER REGIONAL DE HUY - CENTRE HOSPITALIER DE HUY;Hoei;Luik;GE;GE-Discovery NM/CT 670;
MID-000392;50086;17;1605;AZ MARIA MIDDELARES - AZ MARIA MIDDELARES;Gent;Oost-Vlaanderen;Siemens;SIEMENS-Symbia T;
MID-000393;50087;17;1605;AZ MARIA MIDDELARES - AZ MARIA MIDDELARES;Gent;Oost-Vlaanderen;Siemens;SIEMENS-Symbia Intevo;
MID-000394;50088;39;3280;CHU-UCL NAMUR - SITE GODINNE - GODINNE;Yvoir;Namen;GE;GE-Discovery NM/CT 670;
MID-000395;50090;266;2710;POLE HOSPITALIER JOLIMONT - SITE MONS - WARQUIGNIES - HOPITAL DE MONS;Bergen;Henegouwen;GE;GE-Infinia Hawkeye;
MID-000396;50091;266;2720;POLE HOSPITALIER JOLIMONT - SITE MONS - WARQUIGNIES - HOPITAL DE WARQUIGNIES;Boussu;Henegouwen;GE;GE-Infinia Hawkeye;
MID-000397;50092;10;3100;GRAND HOPITAL DE CHARLEROI - NOTRE-DAME;Charleroi;Henegouwen;GE;GE-Discovery NM/CT 670;
MID-000398;50093;7;2790;CHR HAUTE SENNE - LE TILLERIAU SOIGNIES;Zinnik;Henegouwen;GE;GE-Discovery NM/CT 670;
MID-000399;50094;525;1940;AZ DAMIAAN - AZ DAMIAAN;Oostende;West-Vlaanderen;Siemens;SIEMENS-Symbia T;
MID-000401;50097;707;2840;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN - CHENEE;Luik;Luik;Siemens;SIEMENS-Symbia T;
MID-000402;50098;534;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE - UNION TOURNAI;Doornik;Henegouwen;GE;GE-Discovery NM/CT 670 Pro;
MID-000403;50099;290;1630;AZ SINT-LUCAS - SINT-LUCAS;Gent;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670;
MID-000404;50100;290;1630;AZ SINT-LUCAS - SINT-LUCAS;Gent;Oost-Vlaanderen;GE;GE-Infinia Hawkeye;
MID-000405;50101;290;1630;AZ SINT-LUCAS - SINT-LUCAS;Gent;Oost-Vlaanderen;Siemens;SIEMENS-Symbia Intevo;
MID-000406;50104;243;3590;JESSA ZIEKENHUIS - VIRGA JESSE;Hasselt;Limburg;Philips;PHILIPS-BrightView-XCT;
MID-000407;50106;396;1090;AZ GROENINGE - KENNEDYLAAN;Kortrijk;West-Vlaanderen;GE;GE-Discovery NM/CT 670;
MID-000408;50110;716;3670;AZ VESALIUS - AZ VESALIUS TONGEREN;Tongeren;Limburg;Siemens;SIEMENS-Symbia T;
MID-000409;50111;9;2000;ZIEKENHUISNETWERK ANTWERPEN (ZNA) - ZNA MIDDELHEIM / KONINGIN PAOLA KINDERZIEKENHUIS;Antwerpen;Antwerpen;Philips;PHILIPS-BrightView-XCT;
MID-000410;50112;96;3220;CHU TIVOLI - CHU TIVOLI;La Louvière;Henegouwen;Siemens;SIEMENS-Symbia T;
MID-000411;50113;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME - ERASME;Anderlecht;Brussels Hoofdstedelijk Gewest;Philips;PHILIPS-BrightView-XCT;
MID-000412;50115;246;3690;VIVALIA - HOPITAL ARLON ET VIRTON - HOPITAL ARLON;Aarlen;Luxemburg;Siemens;SIEMENS-Symbia T;
MID-000413;50116;322;4230;UZ LEUVEN - GASTHUISBERG;Leuven;Vlaams Brabant;Siemens;SIEMENS-Symbia T;
MID-000414;50117;322;4230;UZ LEUVEN - GASTHUISBERG;Leuven;Vlaams Brabant;GE;GE-Discovery NM/CT 670;
MID-000415;50119;77;1570;CHU BRUGMANN - VICTOR HORTA;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-Symbia T;HUDERF
MID-000416;50121;140;1000;AZ SINT-LUCAS - SINT- LUCAS;Brugge;West-Vlaanderen;Siemens;SIEMENS-Symbia Intevo;
MID-000417;50122;410;3380;CENTRE HOSPITALIER EPICURA - SITE HORNU - BAUDOUR - EPICURA HORNU;Boussu;Henegouwen;GE;GE-Infinia Hawkeye;
MID-000419;50124;110;1310;KLINIEK ST.- JAN - KRUIDTUIN;Brussel;Brussels Hoofdstedelijk Gewest;GE;GE-Discovery NM/CT 670 CZT;
MID-000420;50125;6;3300;CHR SAMBRE ET MEUSE (SITE MEUSE) - CHRSM - SITE MEUSE;Namen;Namen;Philips;PHILIPS-BrightView-XCT;
MID-000421;50126;9;3360;ZIEKENHUISNETWERK ANTWERPEN (ZNA) - ZNA JAN PALFIJN;Antwerpen;Antwerpen;GE;GE-Discovery NM/CT 670;
MID-000422;50127;712;1320;AZ DIEST - STATIESTRAAT DIEST;Diest;Vlaams Brabant;Siemens;SIEMENS-Symbia Intevo;
MID-000423;50128;670;3850;UNIVERSITAIR ZIEKENHUIS - UZ GENT;Gent;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670 Pro;
MID-000424;50129;346;1710;POLE HOSPITALIER JOLIMONT - SITE NIVELLES - TUBIZE - HOPITAL DE NIVELLES;Nijvel;Waals Brabant;GE;GE-Infinia Hawkeye;
MID-000425;50130;396;1090;AZ GROENINGE - KENNEDYLAAN;Kortrijk;West-Vlaanderen;GE;Tandem Discovery 670 Pro;
MID-000426;50131;247;2770;CENTRE HOSPITALIER DE MOUSCRON - C.H.R. MOUSCRON;Moeskroen;Henegouwen;Siemens;SIEMENS-Symbia Intevo;
MID-000427;50132;325;2750;CHU CHARLEROI - SITE ANDRE VESALE - CHU CHARLEROI - SITE ANDRE VESALE;Montigny-le-Tilleul;Henegouwen;GE;GE-Optima NM/CT 640;
MID-000428;50133;32;1845;A.Z. ALMA - AZ ALMA;Eeklo;Oost-Vlaanderen;Philips;PHILIPS-BrightView-XCT;
MID-000429;50134;32;1845;A.Z. ALMA - AZ ALMA;Eeklo;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670 Pro;
MID-000430;50135;715;3650;ST. TRUDO ZIEKENHUIS - ST. TRUDO;Sint-Truiden;Limburg;Siemens;SIEMENS-Symbia Intevo 6;
MID-000431;50136;20;3010;CHR VERVIERS - EAST BELGIUM - LA TOURELLE;Verviers;Luik;GE;GE-Discovery NM/CT 670 Pro;
